reg_mark,vehicle_effective_date,vehicle
YP7278,,MMCJLKL60NH021294
YP7540,,MMCJLKL60NH021296
YT5223,,MMCJLKL60NH021372
YR119,,MMCJLKL60NH021298
YP8578,,MMCJLKL60NH021304
YH8749,2023-03-20,LGDCLA1GXNA121335
YJ3037,,LGDCLA1G7NA112401
YJ3295,,LGDCLA1G2NA112404
YJ574,,VR3EFYHZRNJ578166
YJ947,,VR3EFYHZRNJ578167
YL7358,,LC0CE4DC3P0009883
YM3460,,LSJE24030PG020394
YM4165,,LSJE24031PG020498
YN5662,,LSJE24032PG020395
YM8079,,LSJE24034PG020589
YM8431,,LSJE24033PG020499
YM8005,,LSJE24030PG020590
YN2909,,LJ11KCBE4N1112094
YP4510,,WMA08DZZ9NY443969
YM7465,,WMA08DZZONY443553
YM8678,,ZA9S5020EDAC38330
YH5856,,LGDCLA1G6NA121333
YH5473,,LGDCLA1G4NA121329
YH6435,,LGDCLA1G4NA121330
YH7674,,LGDCLA1G8NA121334
YH8918,,LGDCLA1G2NA121331
YH8332,,LGDCLA1G2NA121328
YH6714,,LGDCLA1G4NA121332
VJ6327,,
YT4227,,LSJE24034PG020480
