in_charge,print_number,mvmd_remarks,district,usage,purpose,type,type_detail,make,maintainance,maintainance_remarks,maintainance_end_date,maintenance_mileage,vehicle_class,license,vehicle_model,chassis_number,engine_number,cylinder_capacity,color,body_type,gross_weight,registered_owner,owner_registration_date,manufacture_year,first_registration_date,rearview_mirror,後備匙,spare_key,car_loan,remarks,new_car,gratia_payment_scheme
Adam,W252,,大欖,各區,工程車,護航車 (TMA),16噸護航車,ISUZU,新記包保養 (5/2018),N/A,,,S.P.V.,18,FVR34QC-V,JALFVR347F7001239,6HK1-677665,7790,YELLOW,TRAFFIC WARNING SIGN,16,偉金建築,2016-04-05,2015,2016-04-05,Y,N,Y,,,,
Adam,W579,,大欖,各區,工程車,護航車 (TMA),16噸護航車,ISUZU,新記包保養 (5/2018),N/A,,,S.P.V.,18,FVR34QC-V,JALFVR347F7000273,6HK1-664529,7790,YELLOW,TRAFFIC WARNING SIGN,16,偉金建築,2016-04-05,2014,2016-04-05,Y,Y,Y,,,,
Adam,,,大欖,各區,工程車,護航車 (TMA),16噸護航車,DONGFENG,,N/A,,,S.P.V.,18,DFH1160B81,LGAX2C135G1816450,78274885,6690,YELLOW,TRAFFIC WARNING SIGN,16,偉金建築,2016-04-13,2016,2016-04-13,Y,Y,Y,,,,
Adam,,"機械部,待報廢,待更換電車(巡路車,車頭壞)(電車一換一計劃)",大欖,"巡路
譚顯宗",工程車,私家車,5座位私家車,KIA,"取消(2019/12)
新記包保養 (5/2018)",N/A,,,Private Car,2,MORNING 1.3 A/T LX,KNABX512MHT266306,G4LAGP018482,1248,YELLOW,SALOON,,偉金建築,2016-04-19,2016,2016-04-19,N,-,Y,,,,
Adam,,,大欖,陳偉倫,巡路車,巡路車,5座位私家車,KIA,"取消(2019/12)
新記包保養 (5/2018)",N/A,,,Private Car,2,MORNING 1.3 A/T LX,KNABX512MHT266307,G4LAGP017741,1248,YELLOW,SALOON,,偉金建築,2016-04-19,2016,2016-04-19,,-,Y,,,,
Adam,,,各區,各區,工程車,夾車,24噸夾車,ISUZU,,,,,Medium Goods Vehicle,19,FXZ77N?D-7S-V,JALFXZ777H7000003,6UZ1-618753,9839,WHITE/ GREEN,TIPPER,24,華盛工程,2021-11-11,2016,2017-02-02,,-,Y,,11/11/2021-過戶至華盛,,
Adam,W596,,大欖,各區,工程車,升降台,5.5噸18米升降台,FOTON,,N/A,,,S.P.V.,2,BJ1079VDJE6-FP,LVBV4JBB3GJ004078,89798564,3760,YELLOW,AERIAL PLATFORM,5.5,偉金建築,2016-06-24,2016,2016-06-24,Y,Y,Y,,,,
Adam,W509,,大欖,各區,工程車,燈車,5.5噸燈車,FOTON,,N/A,,,S.P.V.,2,BJ1079VDJE6-FP,LVBV3JBB1GJ019746,ISF3.8S515489813481,3760,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2016-06-03,2016,2016-06-02,Y,Y,Y,,,,
Adam,W584,,大欖,各區,工程車,護航車 (TMA),16噸護航車,DONGFENG,,N/A,,,S.P.V.,18,DFH1160B81,LGAX2C138G1816491,78278276,6690,YELLOW,TRAFFIC WARNING SIGN,16,偉金建築,2016-06-24,2016,2016-06-24,Y,N,Y,,,,
Adam,W515,,大欖,各區,工程車,護航車 (TMA),16噸護航車,DONGFENG,,N/A,,,S.P.V.,18,DFH1160B81,LGAX2C13XG1816492,78278278,6690,YELLOW,TRAFFIC WARNING SIGN,16,偉金建築,2016-06-24,2016,2016-06-24,Y,Y,Y,,,,
Adam,W514,,大欖,各區,工程車,護航車 (TMA),16噸護航車,DONGFENG,,N/A,,,S.P.V.,18,DFH1160B81,LGAX2C137G1816496,78278274,6690,YELLOW,TRAFFIC WARNING SIGN,16,偉金建築,2016-06-28,2016,2016-06-28,Y,Y,Y,,,,
Adam,W517,,大欖,各區,工程車,護航車 (TMA),16噸護航車,DONGFENG,,N/A,,,S.P.V.,18,DFH1160B81,LGAX2C132G1816499,78278279,6690,YELLOW,TRAFFIC WARNING SIGN,16,偉金建築,2016-06-28,2016,2016-06-28,Y,Y,Y,,,,
Adam,W516,壞車 - 無冷氣,大欖,各區,工程車,護航車 (TMA),16噸護航車,DONGFENG,,N/A,,,S.P.V.,18,DFH1160B81,LGAX2C131G1816493,78278271,6690,YELLOW,TRAFFIC WARNING SIGN,16,偉金建築,2016-06-24,2016,2016-06-24,Y,Y,Y,,,,
Adam,,,大欖,各區,工程車,護航車 (TMA),16噸護航車,DONGFENG,,N/A,,,S.P.V.,18,DFH1160B81,LGAX2C130G1816498,78278280,6690,YELLOW,TRAFFIC WARNING SIGN,16,偉金建築,2016-06-30,2016,2016-06-30,Y,Y,Y,,17/7/2018-車輛交回03HY使用(有交收紙-榮14/8/18),,
Adam,W590,,大欖,頭車,工程車,燈車,5.5噸燈車,ISUZU,,N/A,,,S.P.V.,2,NPR75KH-V,JAANPR75KG7100839,4HK1-482981,5193,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2016-07-06,2016,2016-07-06,,Y,Y,,,,
Adam,W598,,大欖,頭車,工程車,燈車,5.5噸燈車,ISUZU,,N/A,,,S.P.V.,2,NPR75KH-V,JAANPR75KG7100832,4HK1-482561,5193,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2016-07-06,2016,2016-07-06,Y,Y,Y,,,,
Adam,W513,,大欖,頭車,工程車,燈車,5.5噸燈車,ISUZU,,N/A,,,S.P.V.,2,NPR75KH-V,JAANPR75KG7101022,4HK1-490265,5193,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2016-07-06,2016,2016-07-06,Y,Y,Y,,,,
Adam,W571,,大欖,各區,工程車,護航車 (TMA),16噸護航車,DONGFENG,,N/A,,,S.P.V.,18,DFH1160B81,LGAX2C139G1816497,78278272,6690,YELLOW,TRAFFIC WARNING SIGN,16,偉金建築,2016-06-28,2016,2016-06-28,Y,Y,Y,,,,
Adam,W520,,大欖,各區,工程車,護航車 (TMA),16噸護航車,DONGFENG,,N/A,,,S.P.V.,18,DFH1160B81,LGAX2C133G1816494,78278275,6690,YELLOW,TRAFFIC WARNING SIGN,16,偉金建築,2016-06-28,2016,2016-06-28,Y,Y,Y,,,,
Adam,W576,,大欖,頭車,工程車,燈車,5.5噸燈車,ISUZU,,N/A,,,S.P.V.,2,NPR75KH-V,JAANPR75KG7101023,4HK1-490499,5193,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2016-07-18,2016,2016-07-18,Y,Y,Y,,,,
Adam,,,北大,頭車,工程車,燈車,5.5噸燈車,ISUZU,,N/A,,,S.P.V.,2,NPR75KH-V,JAANPR75KG7100831,4HK1-482486,5193,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2016-07-18,2016,2016-07-18,Y,Y,-,,,,
Adam,W557,欠autotoll,大欖,頭車,工程車,燈車,5.5噸燈車,ISUZU,,N/A,,,S.P.V.,2,NPR75KH-V,JAANPR75KG7101021,4HK1-490151,5193,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2016-07-18,2016,2016-07-18,Y,Y,-,,,,
Adam,,,大欖,各區,工程車,燈車,5.5噸燈車(孖屋),ISUZU,,N/A,,,S.P.V.,2,NPR75HJW-V,JAANPR75HG7102568,4HK1-485061,5193,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2016-07-26,2016,2016-07-26,Y,Y,Y,,,,
