vehicle,autotoll_number,vehicle_effective_date,vehicle_end_date
LJ11KCBE8L1112032,,,
JTFSAFAP908024441,,,
JTFSAFAP108024319,,,
JTFSAFAPX08024223,,,
LJ11KCBE6L1117603,,,
LJ11KCBE8L1112029,,,
JTDBT22E200324488,CHTC10455749,,
LJ11KCBD1L1122294,,,
LJ11KCBD1L1122263,,,
LJ11KRBD1L1125005,,,
LJ11KRBDXL1125004,,,
LJ11KCBD0M1111837,,,
LJ11KCBD3M1112044,,,
LJ11KCBD2M1111841,,,
LJ11KCBD5M1112045,,,
LJ11KCBD1M1112043,,,
LJ11KCBD9M1111786,,,
LJ11KCBD0M1111840,,,
JALFXZ777G7000031,,,
S402M-0059298,CHTC10455776,,
JALCYH52TG7000024,,,
V93W-1000314,,,
V93W-1000317,CHTC10467405,,
VR3ERHNS3LJ547514,CHTC10467403,,
VR3ERHNS3MJ542769,CHTC10455755,,
VR3ERHNS3LJ836040,CHTC10455771,,
VR3ERHNS3LJ797492,CHTC10455750,,
VR3ERHNS3MJ623483,CHTC10467402,,
VR3ERHNS3MJ623482,CHTC10467401,,
VR3ERHNS3MJ782949,CHTC10455752,,
VR3ERHNS3MJ782944,CHTC10455775,,
VR3ERHNS3MJ785620,CHTC10467400,,
VR3ERHNS3MJ782946,CHTC10467395,,
VR3ERHNS3MJ782948,CHTC10455773,,
VR3ERHNS3MJ782942,CHTC10455777,,
VR3ERHNS3MJ782951,CHTC10455751,,
VR3ERHNS3MJ782947,CHTC10455756,,
VR3ERHNS3MJ782945,CHTC10455774,,
VR3ERHNS3MJ782943,CHTC10467397,,
VR3ERHNS3MJ785619,CHTC10455753,,
VR3ERHNS3MJ785621,CHTC10455754,,
VR3ERHNS3MJ782950,CHTC10467399,,
JTFHT02PX00060413,CHTC10455780,,
LJ11KCBD1L1121016,,,
LJ11KCBD5L1122265,,,
NCP20-0346348,CHTC10467396,,
NCP21-0067025,CHTC10455778,,
NCP100-0139934,CHTC10455820,,
LJ11KCBD7M1111785,,,
LJ11KCBD2M1111838,,,
LJ11KCBD4M1111839,,,
NCP20-0338464,,,
JT7X2RB7107003092,CHTC00568734,,
LGAX2C144J1820246,,,
JT7X2RB8007003304,,,
JT7X2RB8007003279,,,
JT7X2RB8007003297,,,
JTDKB20U607846853,CHTC10455675,,
JTFHT02P800055632,CHTC10340421,,
JT7X2RB7107001983,CHTC10467406,,
JT7X2RB7107005385,,,
JTDKD3B3801560753,CHTC10455734,,
JT7X2RB8007000211,CHTC10455676,,
JTDKD3B3301588010,CHTC10455697,,
LVBV4JBB2FJ057708,CHTC10455698,,
JHMGD18502S232297,CHTC00468590,,
JAANPR66LR-7100203,CHTC10463168,,
JAANPR66LT-7104082,CHTC10455879,,
JAANPR70LY7101515,CHTC10455858,,
JAANPR66PV-7100347,CHTC10455880,,
JAANPR70L47101043,CHTC10455859,,
MPATFS54H5H530384,CHTC10455881,,
NCP20-0342413,CHTC10454023,,
LGAX2C134J1819766,CHTC10455372,,
LGAX2C134J1820240,,,
LGAX2C136J1820238,CHTC10455877,,
LGAX2C132J1820236,CHTC00874968,,
LGAX2C138J1820239,CHTC10455856,,
LGAX2C134J1820237,CHTC10455878,,
LGAX2C130J1820235,CHTC10455857,,
JTDBT22E903250615,CHTC10455726,,
JTDZZ9H350L000526,CHTC10465594,,
JT7X2RB8007000172,,,
JTNGK3DH60B007770,CHTC10454025,,
JTNGZ3DH308054864,CHTC10465094,,
WDDNG71X29A240900,,,
JTFSAFAP008028216,CHTC10470845,,
JTFSAFAP408029160,,,
JTFSAFAP008028135,,,
LGDCLA1G5MA124495,,,
JTFHT02P000060596,,,
JT7X2RB7107003027,CHTC00813035,,
JT7X2RB7107005799,,,
JN1MC2E26Z0010069,CHTC10455713,,
